epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,228.423,2.13081,1.74211,1.15322,0.72901,0.55284,0.61405,0.33218,1.85017,1.40936,1.12316,0.008416,0.008416,0.008416
131,230.181,2.12094,1.8858,1.14516,0.93474,0.56164,0.62516,0.32487,1.87212,1.47313,1.12058,0.00840362,0.00840362,0.00840362
132,231.832,2.06088,2.01626,1.19631,0.80881,0.58904,0.63112,0.3633,1.79374,1.59754,1.09644,0.00839125,0.00839125,0.00839125
133,233.627,1.96,1.62873,1.06814,0.96723,0.54795,0.65489,0.38327,1.72559,1.34728,1.07219,0.00837887,0.00837887,0.00837887
134,235.614,2.08685,1.73519,1.21361,0.96723,0.54795,0.65489,0.38327,1.72559,1.34728,1.07219,0.0083665,0.0083665,0.0083665
135,237.412,2.05669,1.75552,1.17369,0.9523,0.54693,0.62885,0.31733,1.83817,1.61563,1.11005,0.00835413,0.00835413,0.00835413
136,239.156,2.18628,1.63381,1.10508,0.84245,0.58605,0.63008,0.37298,1.66642,1.46652,1.07057,0.00834175,0.00834175,0.00834175
137,240.807,2.18686,1.68989,1.20872,0.80641,0.58904,0.62554,0.2935,1.97679,1.50242,1.16766,0.00832937,0.00832937,0.00832937
138,242.539,2.12091,1.58608,1.15313,0.85947,0.58651,0.62446,0.36742,1.71393,1.51701,1.07946,0.008317,0.008317,0.008317
139,244.192,2.11168,1.6992,1.15919,0.92454,0.53425,0.62891,0.31109,1.86712,1.50607,1.12611,0.00830462,0.00830462,0.00830462
140,245.856,2.03821,1.91283,1.13797,0.91192,0.54795,0.65033,0.35558,1.79027,1.49935,1.09879,0.00829225,0.00829225,0.00829225
141,247.623,2.02786,1.78325,1.15285,0.78781,0.60274,0.64917,0.39892,1.70012,1.2865,1.05914,0.00827988,0.00827988,0.00827988
142,249.406,1.84112,1.51989,1.15935,0.78781,0.60274,0.64917,0.39892,1.70012,1.2865,1.05914,0.0082675,0.0082675,0.0082675
143,251.172,2.10499,1.69694,1.16943,0.69313,0.55699,0.61579,0.32823,1.88245,1.41015,1.13918,0.00825513,0.00825513,0.00825513
144,252.861,2.18423,1.57293,1.16337,0.74367,0.59621,0.65138,0.32117,1.93948,1.34683,1.1456,0.00824275,0.00824275,0.00824275
145,254.525,2.00797,1.45958,1.14316,0.75552,0.5927,0.62959,0.33044,1.89625,1.36896,1.13039,0.00823038,0.00823038,0.00823038
146,256.323,1.85942,1.34676,1.12391,0.76096,0.61644,0.64261,0.34249,1.83357,1.36619,1.10568,0.008218,0.008218,0.008218
147,258.099,1.96524,1.60018,1.10927,0.79299,0.57724,0.63808,0.35165,1.7773,1.69201,1.08359,0.00820562,0.00820562,0.00820562
148,260.058,1.99801,1.67741,1.10526,0.91232,0.57019,0.66407,0.40025,1.64926,1.27481,1.05214,0.00819325,0.00819325,0.00819325
149,262.083,1.81188,1.32932,1.08868,0.82638,0.58904,0.6479,0.32939,1.93021,1.37002,1.12112,0.00818088,0.00818088,0.00818088
150,263.7,2.01718,1.45667,1.18521,0.82638,0.58904,0.6479,0.32939,1.93021,1.37002,1.12112,0.0081685,0.0081685,0.0081685
151,265.36,1.94791,1.42909,1.08604,0.83735,0.56424,0.63766,0.35758,1.73072,1.29779,1.06792,0.00815613,0.00815613,0.00815613
152,267.221,1.94258,1.26275,1.09506,0.8203,0.58904,0.63633,0.3056,1.95091,1.345,1.136,0.00814375,0.00814375,0.00814375
153,268.899,2.13297,1.49014,1.14125,0.82286,0.57275,0.61693,0.33517,1.77818,1.47835,1.09901,0.00813138,0.00813138,0.00813138
154,270.65,1.97933,1.45171,1.09066,0.87463,0.57341,0.65765,0.37025,1.72004,1.35838,1.07967,0.008119,0.008119,0.008119
155,272.424,1.9128,1.37343,1.08686,0.86592,0.61931,0.6774,0.36402,1.71095,1.37275,1.07807,0.00810662,0.00810662,0.00810662
156,274.094,1.80039,1.35665,1.10854,0.82003,0.56164,0.65029,0.34195,1.84257,1.28749,1.11973,0.00809425,0.00809425,0.00809425
157,275.76,1.95989,1.29357,1.08688,0.80069,0.60274,0.63657,0.32528,1.78476,1.39385,1.08487,0.00808188,0.00808188,0.00808188
158,277.5,1.93328,1.38465,1.03131,0.80069,0.60274,0.63657,0.32528,1.78476,1.39385,1.08487,0.0080695,0.0080695,0.0080695
159,279.142,1.96977,1.35556,1.1419,0.95034,0.56164,0.65829,0.34505,1.7668,1.44627,1.08279,0.00805713,0.00805713,0.00805713
160,280.799,1.91546,1.78666,1.10948,0.85879,0.54795,0.66149,0.36173,1.73351,1.4588,1.06942,0.00804475,0.00804475,0.00804475
161,282.8,2.24021,1.58601,1.17586,0.78259,0.52055,0.61081,0.3044,1.86932,1.37342,1.10402,0.00803238,0.00803238,0.00803238
162,284.473,1.88759,1.28776,1.06277,0.8147,0.60274,0.66739,0.37094,1.6707,1.25242,1.04659,0.00802,0.00802,0.00802
163,286.083,1.7629,1.21662,1.07595,0.82441,0.5789,0.66352,0.33929,1.85812,1.49611,1.09479,0.00800762,0.00800762,0.00800762
164,287.744,1.74745,1.33297,1.05806,0.78079,0.60274,0.66069,0.37798,1.64625,1.30725,1.0442,0.00799525,0.00799525,0.00799525
165,289.421,1.81627,1.25545,1.05429,0.88947,0.55124,0.65158,0.353,1.63916,1.33599,1.04845,0.00798288,0.00798288,0.00798288
166,290.993,1.58134,1.46233,0.91643,0.88947,0.55124,0.65158,0.353,1.63916,1.33599,1.04845,0.0079705,0.0079705,0.0079705
167,292.624,1.89136,1.4365,1.12162,0.76271,0.61645,0.6638,0.34892,1.70169,1.28357,1.07794,0.00795812,0.00795812,0.00795812
168,294.33,1.88335,1.38188,1.10506,0.86408,0.60969,0.68945,0.37542,1.68695,1.25121,1.08453,0.00794575,0.00794575,0.00794575
169,296.196,1.78762,1.22982,1.0632,0.8795,0.64384,0.67166,0.31573,1.92187,1.29137,1.11991,0.00793338,0.00793338,0.00793338
170,297.872,1.84475,1.25444,1.07499,0.92643,0.61644,0.6867,0.40598,1.55223,1.19091,1.03656,0.007921,0.007921,0.007921
171,299.658,1.78534,1.26556,1.08296,0.87065,0.64384,0.70061,0.38305,1.62438,1.29909,1.03668,0.00790863,0.00790863,0.00790863
172,301.621,1.68532,1.2994,1.08484,0.93858,0.62807,0.71925,0.41352,1.58012,1.17661,1.0381,0.00789625,0.00789625,0.00789625
173,303.445,1.75492,1.44143,1.13631,0.92192,0.61644,0.70761,0.42796,1.48371,1.11853,1.00916,0.00788388,0.00788388,0.00788388
174,305.425,1.9252,1.40798,1.15041,0.92192,0.61644,0.70761,0.42796,1.48371,1.11853,1.00916,0.0078715,0.0078715,0.0078715
175,307.309,1.69768,1.20777,1.04056,0.73342,0.56164,0.66611,0.38744,1.57349,1.22396,1.03251,0.00785912,0.00785912,0.00785912
176,308.948,1.76387,1.37579,1.05608,0.91195,0.56761,0.69873,0.38792,1.57832,1.13426,1.02492,0.00784675,0.00784675,0.00784675
177,310.601,1.66441,1.22161,1.02467,0.87673,0.60274,0.72257,0.41412,1.55308,1.22753,1.02308,0.00783438,0.00783438,0.00783438
178,312.361,1.60999,1.24054,1.04154,0.82088,0.57534,0.65915,0.36526,1.64864,1.24006,1.05122,0.007822,0.007822,0.007822
179,314.095,1.55711,1.11176,1.05474,0.76775,0.58868,0.67268,0.39892,1.48625,1.18783,1.02154,0.00780963,0.00780963,0.00780963
180,315.739,1.75975,1.2272,1.07483,0.8807,0.58904,0.72179,0.40345,1.51305,1.15006,1.02409,0.00779725,0.00779725,0.00779725
181,317.502,1.70933,1.11669,1.02259,0.88607,0.64384,0.73382,0.41896,1.51499,1.10671,1.00883,0.00778488,0.00778488,0.00778488
182,319.137,1.68921,1.06584,1.04566,0.88607,0.64384,0.73382,0.41896,1.51499,1.10671,1.00883,0.0077725,0.0077725,0.0077725
183,320.884,1.68155,1.29554,1.00558,0.95314,0.64384,0.7113,0.39349,1.46898,1.22617,1.00404,0.00776013,0.00776013,0.00776013
184,322.628,1.69238,1.29321,1.08136,0.89081,0.63014,0.70595,0.40745,1.55372,1.17372,1.01862,0.00774775,0.00774775,0.00774775
185,324.378,1.75168,1.1158,1.05142,0.91664,0.63014,0.70674,0.4436,1.47745,1.05222,0.98965,0.00773538,0.00773538,0.00773538
186,326.262,1.81203,1.12977,1.05386,0.94422,0.63014,0.71195,0.38524,1.59121,1.18312,1.02855,0.007723,0.007723,0.007723
187,328.128,1.71007,1.1251,1.01757,0.88774,0.63014,0.70733,0.40958,1.56589,1.14465,1.01296,0.00771063,0.00771063,0.00771063
188,329.754,1.8187,1.23034,1.10494,0.91976,0.64384,0.70668,0.40802,1.6261,1.19019,1.03211,0.00769825,0.00769825,0.00769825
189,331.396,1.60401,1.04893,1.03066,0.88299,0.64384,0.6947,0.40797,1.55611,1.1841,1.00937,0.00768587,0.00768587,0.00768587
190,333.148,1.78009,1.21426,1.09555,0.88299,0.64384,0.6947,0.40797,1.55611,1.1841,1.00937,0.0076735,0.0076735,0.0076735
191,334.778,1.87863,1.31973,1.07227,0.84351,0.63014,0.70506,0.42007,1.50045,1.19888,1.00733,0.00766113,0.00766113,0.00766113
