epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,302.014,2.79655,3.39304,1.73646,0.01048,0.60274,0.0223,0.00672,3.17569,3.16922,1.80328,0.0018218,0.0018218,0.0018218
74,305.619,2.63562,3.37346,1.5793,0.32027,0.38356,0.21006,0.07418,2.66009,2.75786,1.57327,0.00181932,0.00181932,0.00181932
75,310.678,2.63956,3.33823,1.61481,0.29625,0.27397,0.22951,0.08259,2.64969,2.45895,1.54543,0.00181685,0.00181685,0.00181685
76,315.64,2.58467,3.193,1.61134,0.25855,0.13699,0.20276,0.07347,2.66749,2.63029,1.54658,0.00181438,0.00181438,0.00181438
77,319.181,2.61267,3.2213,1.55813,0.34023,0.41096,0.28361,0.10304,2.63203,2.40582,1.52568,0.0018119,0.0018119,0.0018119
78,324.237,2.63369,2.99804,1.59958,0.31094,0.30137,0.25255,0.09794,2.55995,2.42467,1.51715,0.00180943,0.00180943,0.00180943
79,327.788,2.72752,3.18406,1.52679,0.31094,0.30137,0.25255,0.09794,2.55995,2.42467,1.51715,0.00180695,0.00180695,0.00180695
80,331.53,2.54744,3.08963,1.55202,0.44841,0.30137,0.27604,0.09441,2.64042,2.4598,1.5211,0.00180448,0.00180448,0.00180448
81,335.002,2.56038,2.92694,1.39042,0.49996,0.28762,0.33355,0.13192,2.51372,2.36492,1.47327,0.001802,0.001802,0.001802
82,340.225,2.77807,3.08136,1.57005,0.43614,0.34247,0.33185,0.14041,2.46945,2.24,1.4373,0.00179952,0.00179952,0.00179952
83,345.21,2.60681,3.32763,1.45806,0.45704,0.24658,0.30816,0.13057,2.49094,2.44258,1.42769,0.00179705,0.00179705,0.00179705
84,348.788,2.68796,3.03726,1.47684,0.45704,0.24658,0.30816,0.13057,2.49094,2.44258,1.42769,0.00179458,0.00179458,0.00179458
85,352.425,2.50832,2.82544,1.41969,0.40385,0.32484,0.31542,0.13211,2.42935,2.30146,1.40128,0.0017921,0.0017921,0.0017921
86,355.993,2.46031,3.29471,1.34352,0.42739,0.39878,0.37832,0.16244,2.38575,2.30039,1.35447,0.00178962,0.00178962,0.00178962
87,361.058,2.70271,3.62224,1.57169,0.56046,0.38356,0.40177,0.15794,2.36484,2.57666,1.34859,0.00178715,0.00178715,0.00178715
88,364.574,2.58757,3.46107,1.3888,0.4488,0.42386,0.39822,0.13923,2.4213,2.19577,1.37792,0.00178468,0.00178468,0.00178468
