epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,123.034,3.82726,4.05074,1.99954,0.00286,0.16438,0.00204,0.00056,3.62921,4.17309,1.89121,0.0086932,0.0086932,0.0086932
69,124.867,3.84623,4.02807,1.99513,0.00193,0.10959,0.00141,0.00035,3.78517,4.03238,1.94338,0.0086734,0.0086734,0.0086734
70,126.44,3.69972,3.83539,1.78455,0.00193,0.10959,0.00141,0.00035,3.78517,4.03238,1.94338,0.0086536,0.0086536,0.0086536
71,128.02,3.59364,3.95374,1.89046,0.00322,0.10959,0.00244,0.00055,3.76391,4.07452,1.93529,0.0086338,0.0086338,0.0086338
72,129.624,3.99025,3.92561,1.83317,0.0033,0.08219,0.00213,0.00056,3.8756,4.07896,2.00173,0.008614,0.008614,0.008614
73,131.231,3.56563,4.16626,1.7992,0.00303,0.10959,0.00283,0.00059,3.94564,3.95325,2.05819,0.0085942,0.0085942,0.0085942
74,132.862,3.66316,3.94925,2.02004,0.00309,0.15068,0.00435,0.00082,4.08096,3.82257,2.10429,0.0085744,0.0085744,0.0085744
75,134.472,3.67291,4.07015,1.91729,0.00721,0.17808,0.01352,0.00277,3.79967,3.8907,1.97925,0.0085546,0.0085546,0.0085546
76,136.626,3.01199,3.93597,1.63252,0.23502,0.10959,0.09853,0.03046,3.0216,3.3822,1.71002,0.0085348,0.0085348,0.0085348
77,138.494,3.34592,3.81108,1.8044,0.56789,0.23288,0.24536,0.0767,2.91531,3.15049,1.65876,0.008515,0.008515,0.008515
78,140.165,3.4717,3.82573,1.87556,0.56789,0.23288,0.24536,0.0767,2.91531,3.15049,1.65876,0.0084952,0.0084952,0.0084952
79,141.899,3.50373,3.63298,1.79389,0.4505,0.17974,0.20527,0.05119,3.17152,3.09555,1.71884,0.0084754,0.0084754,0.0084754
80,143.081,3.65547,3.84851,1.74726,0.01572,0.50685,0.10246,0.03508,2.95138,3.63696,1.6605,0.0084556,0.0084556,0.0084556
81,144.286,3.17478,3.90576,1.99201,0.15953,0.09885,0.07673,0.02681,2.75944,3.45442,1.59005,0.0084358,0.0084358,0.0084358
82,145.45,3.38845,3.56643,1.63413,0.20244,0.24658,0.14358,0.04945,2.6464,3.11561,1.53147,0.008416,0.008416,0.008416
83,146.7,3.09772,3.39031,1.54702,0.12144,0.09589,0.06059,0.0207,2.70103,3.20386,1.53732,0.0083962,0.0083962,0.0083962
84,147.865,3.04363,3.50143,1.48582,0.16392,0.26027,0.10217,0.0318,2.70095,3.05625,1.55031,0.0083764,0.0083764,0.0083764
85,149.063,2.79627,3.31201,1.59584,0.37531,0.20548,0.20174,0.0738,2.56787,2.81517,1.46095,0.0083566,0.0083566,0.0083566
86,150.23,2.91379,3.13538,1.57241,0.37531,0.20548,0.20174,0.0738,2.56787,2.81517,1.46095,0.0083368,0.0083368,0.0083368
87,151.418,3.01787,3.32343,1.55238,0.46003,0.31507,0.29765,0.07765,2.73082,2.65766,1.51009,0.008317,0.008317,0.008317
88,152.813,3.102,3.19496,1.48472,0.3365,0.29184,0.23671,0.06889,2.64924,2.76221,1.50529,0.0082972,0.0082972,0.0082972
89,154.004,2.86505,2.9952,1.55627,0.42632,0.36986,0.31408,0.11888,2.58415,2.4767,1.47207,0.0082774,0.0082774,0.0082774
90,155.307,2.6875,3.12547,1.52161,0.35262,0.47945,0.37654,0.13434,2.49738,2.96877,1.39605,0.0082576,0.0082576,0.0082576
91,156.625,2.9525,3.08089,1.55549,0.46343,0.33131,0.34483,0.10672,2.54404,2.45402,1.44314,0.0082378,0.0082378,0.0082378
92,157.81,2.6748,2.86757,1.43142,0.55207,0.39726,0.37961,0.14758,2.46103,2.11999,1.39548,0.008218,0.008218,0.008218
93,159.147,2.74891,2.9754,1.46048,0.71078,0.30137,0.40548,0.1568,2.43333,2.66815,1.40451,0.0081982,0.0081982,0.0081982
94,160.493,2.866,2.92541,1.46542,0.71078,0.30137,0.40548,0.1568,2.43333,2.66815,1.40451,0.0081784,0.0081784,0.0081784
95,161.78,2.59106,2.56355,1.39132,0.57594,0.37214,0.37831,0.16759,2.35259,2.36961,1.37896,0.0081586,0.0081586,0.0081586
96,163.101,2.62743,2.77415,1.37111,0.49532,0.46575,0.4217,0.16605,2.41658,2.08239,1.41091,0.0081388,0.0081388,0.0081388
97,164.569,2.63667,2.85657,1.37013,0.50511,0.32165,0.33541,0.12977,2.36684,2.3624,1.39957,0.008119,0.008119,0.008119
98,165.764,2.88286,2.93265,1.45178,0.72952,0.34247,0.43356,0.17482,2.3473,2.05158,1.37724,0.0080992,0.0080992,0.0080992
99,167.078,2.685,2.50928,1.32273,0.30035,0.19178,0.16443,0.06598,2.38368,2.72123,1.38152,0.0080794,0.0080794,0.0080794
100,168.246,2.79739,2.784,1.542,0.49396,0.45467,0.40882,0.1708,2.27889,2.09926,1.37286,0.0080596,0.0080596,0.0080596
101,169.424,2.68856,2.43186,1.36229,0.61298,0.42466,0.43021,0.18479,2.22932,1.98505,1.34448,0.0080398,0.0080398,0.0080398
102,170.838,2.5975,2.47925,1.31185,0.61298,0.42466,0.43021,0.18479,2.22932,1.98505,1.34448,0.00802,0.00802,0.00802
103,172.139,2.68262,2.30696,1.29314,0.44604,0.38356,0.38542,0.17465,2.33196,2.08556,1.3481,0.0080002,0.0080002,0.0080002
104,173.329,2.63823,2.35248,1.43773,0.70592,0.41096,0.49181,0.21985,2.25143,1.83697,1.30477,0.0079804,0.0079804,0.0079804
105,174.616,2.55849,2.40056,1.34569,0.68685,0.38356,0.43013,0.17876,2.29528,2.0255,1.31093,0.0079606,0.0079606,0.0079606
106,175.786,2.54863,2.28713,1.27231,0.6513,0.45205,0.47728,0.20142,2.33283,2.25189,1.34806,0.0079408,0.0079408,0.0079408
107,176.96,2.46726,2.37379,1.28086,0.70048,0.41655,0.48855,0.21025,2.26892,2.08795,1.29621,0.007921,0.007921,0.007921
108,178.136,2.31139,2.55513,1.24267,0.7543,0.46575,0.50925,0.20112,2.32198,2.52872,1.33073,0.0079012,0.0079012,0.0079012
109,179.318,2.62181,2.04651,1.25348,0.78286,0.42466,0.52145,0.25206,2.20668,1.83086,1.25818,0.0078814,0.0078814,0.0078814
110,180.609,2.48055,2.30371,1.21626,0.78286,0.42466,0.52145,0.25206,2.20668,1.83086,1.25818,0.0078616,0.0078616,0.0078616
